Country,Health.GDP%,Health.Expenditure$,Physiciansper1000people,Nurses_Midwivesper1000people,Specialist.Surgeonsper10000people,Registered.Births%,Registered.Deaths%
Afghanistan,10.2,57.2,0.3,0.3,0,42.3,NA
Albania,6.7,271.5,1.2,3.6,11.6,98.4,53
Algeria,6.6,260.4,1.8,2.2,12.1,100,NA
Andorra,10.4,3834.7,3.3,4,83.1,100,80
Angola,2.9,95.2,0.2,1.3,NA,25,NA
Antigua and Barbuda,4.3,623.1,2.8,3.1,14,NA,79
Argentina,7.5,955.2,4,2.6,50.1,100,100
Armenia,9.9,358.8,2.9,5.6,86.7,99.3,76
Australia,9.3,5002.4,3.6,12.7,45.1,100,100
Austria,10.4,4688.3,5.1,8.2,109.9,100,100
Azerbaijan,6.9,268.2,3.4,7,67.6,NA,NA
Bahamas,6.4,1835.2,1.9,3.1,NA,NA,93
Bahrain,4.9,1099.4,0.9,2.5,14.4,NA,88
Bangladesh,2.4,34.2,0.5,0.3,2.9,20.2,NA
Barbados,7,1163.8,2.5,6,17.2,99,100
Belarus,6.3,318,4.1,11.4,124.2,100,100
Belgium,10,4149.4,3.3,11.1,89.8,100,100
Belize,6.1,303.6,1.1,1.7,10.5,96,100
Benin,3.9,30.4,0.2,0.6,1.9,85.6,NA
Bhutan,3.5,91.3,0.4,1.5,2.9,100,NA
Bolivia,6.9,213,1.6,0.7,33.9,92,NA
Bosnia,9.2,443.8,2,6.3,32.3,NA,89
Botswana,5.5,379.9,0.4,3.3,3.6,88,NA
Brazil,11.8,1015.9,2.1,9.7,55.5,96,93
Brunei,2.3,630.6,1.8,6.6,NA,NA,89
Bulgaria,8.2,612.5,4,5.3,112.7,100,100
Burkina Faso,6.8,40.9,0.1,0.6,0.6,76.9,NA
Burundi,6.2,18.5,0.1,0.7,0.4,83.5,NA
Cabo Verde,5.2,159.1,0.8,1.2,16,91,NA
Cambodia,6.1,77.7,0.2,1,4.2,73.3,NA
Cameroon,4.7,64.5,0.1,0.9,1.2,66,NA
Canada,10.5,4458.2,2.6,9.9,43.9,100,100
Cayman Islands,NA,NA,NA,NA,156.8,NA,NA
Central African Republic,4.3,16.4,0.1,0.2,0.4,61,NA
Chad,4.5,31.7,0,0.4,0.3,12,NA
Channel Islands,NA,NA,NA,NA,38.7,NA,NA
Chile,8.5,1190.5,1.1,0.9,59.3,99,100
China,5,398.3,1.8,2.3,40.1,NA,4
Hong Kong,NA,NA,NA,NA,27.8,NA,NA
Macao,NA,NA,NA,NA,NA,NA,NA
Colombia,5.9,340.4,2.1,1.3,22.7,96.8,98
Comoros,7.6,59,0.2,0.9,NA,87.3,NA
Congo,4.6,70.4,0.1,1.7,0.2,96,NA
Costa Rica,7.6,888.9,1.1,0.8,25.5,100,91
Cote d'Ivoire,4.4,67.6,0.2,0.9,2.8,72,NA
Croatia,7.2,884.5,3,8.1,81.2,100,100
Cuba,12.2,970.6,8.2,7.8,100.9,100,98
Cyprus,6.9,1634.4,2,5.3,84.4,100,86
Czech Republic,7.1,1321.6,4.3,8.4,124.5,100,100
Denmark,10.4,5565.6,4.5,10.3,69,100,98
Djibouti,3.5,70.2,0.2,0.5,4.4,NA,NA
Dominica,5.3,419.4,1.1,5.9,11.3,NA,100
Dominican Republic,6.2,414.2,1.6,0.3,NA,88,56.9
Ecuador,8.4,504.8,2.1,1.2,59.4,82,80
Egypt,4.6,131,0.8,1.4,50.1,99.4,95
El Salvador,7,293.9,1.6,2.3,22.3,99,78
Equatorial Guinea,3.4,281.4,0.4,0.5,NA,54,NA
Eritrea,3,29.9,NA,NA,0.4,NA,NA
Estonia,6.7,1185.3,3.5,6.5,65,100,100
Eswatini,7.7,220.6,0.1,2,0.2,54,NA
Ethiopia,4,27.5,0.1,0.8,0.5,2.7,NA
Faroe Islands,NA,NA,NA,NA,NA,NA,NA
Fiji,3.5,179.9,0.8,2.9,5.4,NA,100
Finland,9.5,4117.3,3.8,14.7,76.3,100,100
France,11.5,4263.4,3.2,9.7,58.6,100,100
French Polynesia,NA,NA,NA,NA,32.6,NA,NA
Gabon,3.1,220.4,0.4,2.6,NA,89.6,NA
The Gambia,4.4,20.9,0.1,1.6,1.8,72,NA
Georgia,8.4,308,5.1,4.1,130.4,100,98
Germany,11.1,4714.3,4.2,13.2,108,100,100
